USER,FRIENDCOUNT
605923,979
852241,5000
1031591,2733
1589381,3415
1632131,1995
1701371,3042
2025101,1633
3042711,3145
3080761,5000
5693852,388
6758652,1681
7377862,1152
8500742,143
8769542,3870
10034972,5000
10271802,339
12006852,1439
12434302,3393
13645402,2549
13686942,376
14149525,406
14211946,5000
14278162,1091
14331818,5000
14564240,1234
14629974,798
14707329,4212
14807028,916
15044465,1219
15449070,5000
15709458,437
15709998,90
15754107,4070
15785369,120
15841047,2108
15842692,4145
15923007,4960
15931296,152
15970999,1315
16861499,489
16868154,2200
16914744,424
17075190,2512
18076477,874
18227931,648
18399014,5000
18663040,1110
19203768,5000
19543146,1698
19613659,852
19776081,617
20449047,903
20816117,415
22058343,5000
22085323,2618
22160201,5000
22689222,284
22826489,582
22898537,1254
22943563,977
23670057,70
24092133,1644
25758355,31
26921595,108
27013170,127
27838943,470
28288234,743
28631536,785
30180284,2642
31866134,116
32747579,151
34317032,5000
34775622,94
35063411,792
35213582,5000
35592012,1447
36132608,220
36299530,549
38996816,814
39125230,76
41181426,6
42337563,66
43868896,346
47233122,222
47995926,88
48082526,1781
48382538,2852
50122046,5000
50128998,2353
50410039,370
54257466,2407
54493821,46
56285668,82
57014378,229
60923303,79
65829374,108
70381169,178
77531826,5
78269677,1180
79942228,586
84562497,66
90327389,611
97436767,194
98296019,33
104074179,365
104591562,376
106536714,66
113305345,190
116974911,910
121140906,4086
122387614,293
122477531,2317
123199606,108
125577272,26
135076044,1339
145310513,837
146977144,928
149163722,122
151901549,1165
153136109,1786
157012781,1379
161911988,18
164805193,178
169666017,4115
173013762,17
174805704,1824
180473295,319
189145660,1099
190987043,2593
191032987,659
195447741,293
197877074,285
198380023,5000
199205892,1170
201612370,184
203744844,110
206340497,125
211554263,206
213612790,394
217377296,583
220983330,200
221460308,458
221783062,772
233049998,11
248487038,756
249127464,245
254201259,5000
255681367,5000
256118545,107
256842707,58
259850415,3518
263318350,2081
264861144,158
269869476,28
271609574,77
274274893,397
278198164,107
281068455,559
284205655,324
285932503,757
307755344,5000
315675025,5000
320298773,1348
326644141,2
335488383,312
337124515,946
344269976,279
350556278,1372
355773903,5000
360935984,280
365952591,49
377121556,60
380373487,1380
382427814,76
384353422,528
387831845,465
390440010,210
398726412,46
399555239,237
420457074,1904
455827771,308
466184798,29
476100749,3610
479894950,647
538185924,32
539316186,146
539768101,101
543394546,35
549981650,71
570277495,91
570557060,78
589300441,4403
603399914,3
605081124,13
606550203,274
618128128,613
618889136,3260
619160729,2
707840696,1380
711254847,314
727549675,2864
830441646,579
831353796,28
839212831,616
856814478,322
863233914,202
889998600,526
908722394,276
915196352,735
954570740,1
997804160,22
1148762064,1514
1187739625,10
1200468920,209
1299060908,371
1381440247,105
1383120733,43
1444456622,793
1511472330,178
1551367058,455
1564889394,0
1569615132,106
1637456210,951
1686799970,5000
1711281463,5000
1723337161,266
1862092890,66
1911773226,102
1927768428,615
2151332060,250
2153354521,2
2173480850,162
2182839406,111
2239834663,1059
2243119087,10
2278388744,642
2322493710,211
2330940993,47
2351420289,804
2359848976,33
2370912601,5000
2381231737,251
2396255567,405
2436932576,1784
2495140081,4
2533947620,475
2580841434,88
2592291038,373
2607674898,210
2722830710,1364
2752385484,276
2763613546,9
2771013624,2
2796664071,37
2806320271,68
2847587880,52
2865759292,6
2908594483,13
2914605289,436
2919263380,112
2936496598,427
2986305078,272
2991697611,544
3067930637,252
3085709819,194
3099127504,115
3161452212,9
3219466105,9
3234404271,189
3241373905,13
3256198422,16
3271976762,117
3354261519,2545
3367252762,2180
3404105714,1
3405639663,125
3431446607,1
3439046147,29
3459604876,249
3485785534,10
3589613055,68
3707214743,1067
3760398976,519
3809474417,26
3855821243,14
4502652733,650
4724374220,53
4738176435,148
4830473890,57
4844579470,189
4896184433,419
4897300665,203
4909734269,116